ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
4.555,-31.2606,DEV,-99,0.2014,18.5126,17.2611,16.5163
4.6407,-55.3326,SER,-99,0.3158,18.9477,17.2992,16.4671
5.0591,17.6527,SER,0.6167,0.6355,21.8555,19.9226,18.4266
5.11,33.1923,SER,0.7686,0.7416,22.1375,20.1007,18.329
5.1434,17.7243,SER,-99,0.4107,20.9379,19.2254,18.2623
5.1478,2.6523,DEV,0.6013,0.6059,21.668,19.822,18.3927
5.2148,1.1058,SER,-99,0.2983,20.5805,19.0548,18.1506
5.221,1.5287,SER,-99,0.6244,23.127,21.3303,19.9337
5.2218,1.5288,DEV,0.6314,0.6255,21.6739,19.7393,18.228
5.2223,28.2314,SER,0.2445,0.236,19.1709,17.7858,17.0053
5.2289,2.5671,REX,-99,0.1861,19.9238,19.3482,18.9963
5.2634,26.1243,SER,-99,0.4114,21.3008,19.608,19.0986
5.2689,0.0545,SER,-99,0.1545,19.3574,18.9662,18.7013
5.29,30.1476,SER,-99,0.1727,19.9485,18.8245,18.1433
5.2926,-43.4915,SER,-99,0.5999,21.2576,20.0677,19.1585
5.3103,21.5139,SER,-99,0.2617,22.2558,20.6056,19.7098
5.3108,21.5139,SER,-99,0.3236,20.6106,19.1957,17.9953
5.3129,7.0075,EXP,-99,0.2744,20.7282,19.8808,19.2261
5.3253,24.7112,SER,0.6544,0.649,21.3834,19.5034,17.967
5.3278,33.6357,SER,0.2243,0.2331,18.305,16.861,16.0436
5.331,17.158,SER,0.5535,0.5533,20.908,18.9391,17.6068
5.3451,25.7235,DEV,0.5491,0.4895,21.6464,19.7282,18.5185
5.3637,23.4462,SER,-99,0.4848,21.5346,19.861,18.7582
5.3642,27.2533,DEV,-99,0.3667,21.5101,19.8025,18.9339
5.3676,31.7118,DEV,-99,0.821,23.1341,21.148,19.1133
5.413,-54.959,EXP,-99,0.5422,21.6894,20.3292,19.1378
5.4201,-45.811,SER,-99,0.2925,19.2187,17.6556,16.7408
5.428,13.066,DEV,-99,0.3458,20.6808,19.1354,18.1599
5.4463,-62.8986,SER,-99,0.252,18.478,17.0243,16.2602
5.4479,-39.4438,SER,-99,0.2294,18.2646,16.8859,16.1311
5.478,15.1312,SER,-99,0.2765,20.6232,19.1892,18.3569
5.4825,-39.9687,SER,-99,0.3925,20.6271,18.8656,17.9451
5.4863,-3.8811,SER,-99,0.3377,20.7287,19.8638,19.2956
5.5079,-4.9807,SER,0.5542,0.5432,20.7227,18.9706,17.7383
5.5152,-3.2408,SER,-99,0.6048,23.0593,21.0882,19.6973
5.5171,-3.2412,DEV,0.6224,0.6534,23.2932,21.4433,19.9431
5.522,-63.558,SER,-99,0.3383,20.0384,18.6845,17.8775
5.5272,-32.0892,SER,-99,0.2005,17.9809,16.8767,16.1774
5.5319,-64.5457,DEV,-99,0.8225,23.6152,21.5351,19.5991
5.5394,-58.4034,SER,-99,0.4257,20.7693,18.9655,17.9875
5.5405,-13.306,DEV,-99,0.5639,21.5702,19.6897,18.3817
5.555,-48.1303,SER,-99,0.4122,19.9887,18.2413,17.3059
5.5563,0.7236,SER,-99,0.2231,19.9883,18.7131,17.9643
5.5707,2.8228,SER,0.6112,0.6136,21.273,19.3852,17.9095
5.584,-52.211,SER,-99,0.1752,20.0229,19.5279,19.2182
5.5968,1.9625,SER,-99,0.1036,19.2139,18.7857,18.4894
5.6091,-30.4215,SER,-99,0.2693,19.567,18.0517,17.2567
5.6099,-40.6132,EXP,-99,0.7842,23.4956,21.7308,19.9803
5.61,3.7082,SER,0.6353,0.6768,21.9857,20.0132,18.4057
5.616,-46.5365,DEV,-99,0.8781,24.0018,21.7011,19.7536
5.6187,1.8037,DEV,-99,0.7422,20.7925,19.9967,18.4965
5.6209,-2.6392,DEV,0.6271,0.6394,21.7895,19.962,18.4659
5.6259,12.0578,REX,-99,0.1362,19.4742,18.8328,18.4515
5.6417,25.4052,DEV,0.6937,0.679,21.7414,19.8045,18.1794
5.6436,-36.0749,SER,-99,0.7058,21.9261,20.0433,18.3853
5.6454,-3.5642,SER,0.5988,0.6034,22.886,20.9381,19.4992
5.6645,32.5596,SER,0.5805,0.5946,21.5793,19.6859,18.2527
5.6665,-32.0884,SER,0.2375,0.2492,18.7073,17.2951,16.5603
5.6853,-62.9876,DEV,-99,0.7923,22.4675,20.4779,18.5734
5.6883,-10.8133,DEV,-99,0.3279,19.9515,18.3373,17.3243
5.6898,3.4733,REX,-99,0.2788,20.1034,19.1655,18.4821
5.6937,-58.6083,SER,-99,0.6475,21.6061,19.7912,18.2739
5.7157,-40.0673,REX,-99,0.3188,21.9704,20.4415,19.6815
5.7163,-52.0328,SER,-99,0.5302,20.2658,18.3355,17.1054
5.723,-39.1763,SER,-99,0.1239,17.435,16.4251,15.7445
5.7258,27.0315,SER,-99,0.5333,20.6112,19.3397,18.3319
5.7275,-14.1652,DEV,-99,0.478,22.6907,20.9112,19.8223
5.7299,-14.1656,SER,-99,0.4548,21.1005,19.2824,18.2543
5.7314,-9.9832,SER,-99,0.2274,19.4052,18.0212,17.1882
