ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
7.6321 ,-7.7127 ,SER,0.535,0.5207 ,21.4119 ,19.5694 ,18.3765 ,
7.6905 ,-50.9963 ,SER,-99,0.6031 ,21.7872 ,20.4006 ,19.2660 ,
7.7887 ,-41.7198 ,EXP,-99,0.6228 ,21.2993 ,20.1590 ,19.1251 ,
7.7953 ,18.1099 ,EXP,0.5657,0.5797 ,20.7726 ,19.9414 ,19.0157 ,
7.8163 ,-14.3293 ,SER,-99,0.4791 ,21.6729 ,19.7296 ,18.6144 ,
7.8320 ,-64.3438 ,DEV,-99,0.7953 ,22.1582 ,20.8084 ,19.2207 ,Jacobs et al.2019
7.8614 ,-13.4433 ,REX,-99,0.6335 ,22.3943 ,20.9611 ,19.8358 ,
7.9332 ,-55.7491 ,SER,-99,0.3963 ,20.8226 ,19.7024 ,18.8124 ,
7.9631 ,-31.4441 ,SER,-99,0.4315 ,20.0548 ,18.5967 ,17.5909 ,
8.0136 ,7.6678 ,SER,0.6437062,0.6490 ,20.8480 ,19.2269 ,17.7199 ,Huang et al. 2021
8.1108 ,-37.4875 ,SER,-99,0.7476 ,22.3929 ,20.6247 ,18.9095 ,
8.1361 ,-52.7481 ,SER,-99,0.3551 ,20.2373 ,18.5251 ,17.6635 ,
8.4195 ,-46.5522 ,REX,-99,0.4674 ,20.9275 ,20.5061 ,19.8957 ,Storfer et al. 2022
8.6161 ,-13.8142 ,DEV,-99,0.6929 ,22.6512 ,20.8201 ,19.2439 ,
8.6172 ,-45.8558 ,SER,-99,0.5218 ,21.6984 ,19.8442 ,18.6803 ,
8.6647 ,-15.9965 ,SER,-99,0.2585 ,19.7834 ,18.3832 ,17.6521 ,
8.7617 ,-44.7854 ,REX,0.7955,0.8023 ,21.5216 ,20.7047 ,19.4611 ,
8.7630 ,-28.0538 ,EXP,-99,0.7414 ,21.6074 ,20.6607 ,19.5194 ,
8.7731 ,-2.1598 ,EXP,0.78105,0.6019 ,21.2823 ,20.4672 ,19.3765 ,Stein et al.2022
8.8215 ,-25.5456 ,SER,-99,0.7495 ,21.0097 ,20.2523 ,19.2770 ,Stein et al.2022
8.8610 ,-50.3323 ,DEV,-99,0.5129 ,21.9292 ,20.1426 ,19.0032 ,Stein et al.2022
8.8610 ,-50.3323 ,DEV,-99,0.5129 ,21.9292 ,20.1426 ,19.0032 ,
8.9432 ,-21.7288 ,DEV,-99,0.6062 ,21.1434 ,19.6717 ,18.4260 ,
9.0675 ,-13.3276 ,REX,-99,0.9302 ,23.1558 ,21.7280 ,19.8975 ,
9.3501 ,-10.5888 ,SER,-99,0.2772 ,19.0181 ,17.8434 ,17.1292 ,
9.5711 ,27.7956 ,DEV,-99,0.8269 ,21.7899 ,20.7382 ,19.2428 ,
9.6226 ,-36.7634 ,REX,-99,0.7512 ,21.2158 ,20.3500 ,19.3119 ,Huang et al. 2021
9.6926 ,-29.6019 ,DEV,-99,0.8287 ,23.0587 ,21.3320 ,19.3494 ,Jacobs et al.2019
9.9581 ,-47.6456 ,SER,-99,0.6772 ,22.4197 ,20.5145 ,18.9506 ,
9.9949 ,-11.4890 ,SER,-99,0.4097 ,21.0563 ,19.1936 ,18.1318 ,Stein et al.2022
9.9949 ,-11.4890 ,SER,-99,0.4097 ,21.0563 ,19.1936 ,18.1318 ,
10.0732 ,-40.4107 ,SER,-99,0.7042 ,21.9287 ,20.1254 ,18.5109 ,
10.1832 ,33.0013 ,SER,-99,0.1947 ,20.7330 ,20.0581 ,19.5084 ,
10.2066 ,-52.2115 ,DEV,-99,0.5411 ,22.7451 ,21.0824 ,19.9412 ,
10.2876 ,-0.7303 ,DEV,0.56373006,0.5772 ,21.1408 ,19.5168 ,18.2656 ,Huang et al. 2020
10.3854 ,19.8874 ,SER,-99,0.1237 ,20.1695 ,19.7076 ,19.3684 ,
10.5692 ,-5.5844 ,DEV,-99,0.8997 ,21.9745 ,21.1223 ,19.2708 ,Huang et al. 2021
10.6538 ,6.4137 ,SER,0.5046,0.5134 ,20.7282 ,19.1301 ,17.9864 ,
10.7684 ,-0.2678 ,DEV,-99,0.5294 ,20.8472 ,19.7273 ,18.8303 ,
10.8238 ,7.4772 ,SER,-99,0.3171 ,21.3999 ,20.2119 ,18.9718 ,
10.8803 ,-15.1412 ,DEV,-99,0.9709 ,23.8032 ,21.9067 ,19.8601 ,
10.9206 ,5.6150 ,SER,0.62980133,0.5796 ,20.2705 ,19.0637 ,18.0051 ,Stein et al.2022
10.9448 ,-31.1979 ,SER,-99,0.7071 ,22.1303 ,20.1548 ,18.4921 ,Stein et al.2022
10.9807 ,4.8917 ,SER,-99,0.3983 ,19.6928 ,18.3145 ,17.4872 ,
