ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
52.9324 ,-61.3876 ,DEV,-99,0.7909 ,22.2741 ,20.4808 ,18.6502 ,Stein et al.2022
54.1190 ,-38.2024 ,SER,-99,0.5437 ,20.3961 ,19.1223 ,18.2104 ,Jacobs et al.2019
54.2561 ,-43.4765 ,SER,-99,0.6770 ,22.3426 ,20.4570 ,18.8979 ,Stein et al.2022
55.0891 ,-25.5584 ,SER,-99,0.6326 ,21.2337 ,19.4918 ,18.0287 ,Huang et al. 2021
55.4365 ,-31.6484 ,SER,-99,0.7804 ,21.7381 ,20.8436 ,19.7000 ,Huang et al. 2021
55.5764 ,-57.8697 ,DEV,-99,0.9065 ,24.2972 ,22.0479 ,19.9588 ,Stein et al.2022
56.2697 ,-33.0721 ,SER,-99,0.5991 ,21.8606 ,20.0383 ,18.6728 ,Stein et al.2022
56.6788 ,-9.2313 ,SER,-99,0.4325 ,20.1999 ,18.3528 ,17.3046 ,Huang et al. 2021
57.1209 ,-38.8714 ,SER,-99,0.7196 ,21.3217 ,20.3469 ,18.9182 ,Stein et al.2022
57.2074 ,-10.2962 ,SER,-99,0.7317 ,21.9547 ,20.1740 ,18.4488 ,Huang et al. 2021
57.3313 ,-48.9592 ,SER,-99,0.6507 ,20.5178 ,18.9738 ,17.5453 ,Diehl et al. 2017
57.5232 ,-13.1978 ,SER,-99,0.5294 ,22.3592 ,20.8288 ,19.6156 ,Huang et al. 2021
57.9070 ,-7.8706 ,SER,-99,0.6597 ,21.5760 ,19.8996 ,18.3478 ,Huang et al. 2021
57.9594 ,-22.2418 ,SER,-99,0.6646 ,20.9473 ,19.8393 ,18.5592 ,Jacobs et al.2019
58.1777 ,-19.3799 ,DEV,-99,0.6232 ,22.5901 ,20.9845 ,19.6313 ,Huang et al. 2021
58.4427 ,-17.1109 ,DEV,-99,0.5256 ,21.2565 ,19.8479 ,18.4451 ,Jacobs et al.2019
58.5761 ,-16.1645 ,SER,-99,0.5887 ,21.0897 ,19.2216 ,17.8400 ,Jacobs et al.2019
59.0860 ,-53.9585 ,SER,-99,0.6075 ,20.8172 ,19.3174 ,18.0363 ,Stein et al.2022
60.3146 ,-9.8606 ,SER,-99,0.5816 ,20.8404 ,19.4532 ,17.7784 ,Stein et al.2022
