ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
15.9969,-29.5664,EXP,,0.6264,21.3204,20.1146,19.0666
16.2232,2.9022,SER,,0.5701,22.902,21.1207,19.8656
16.2415,4.726,SER,,0.2843,21.6108,20.4368,19.6728
16.47,-35.3418,EXP,,0.4488,21.3004,20.0967,19.335
16.4894,-39.6022,SER,,0.9162,22.057,21.3316,19.9449
16.6344,-61.5319,DEV,,0.7231,23.0108,21.0181,19.3259
16.6417,-44.0383,SER,,0.9154,21.5142,20.8631,19.7456
16.7576,19.7725,REX,0.5404,0.5799,21.9552,20.2108,18.9912
16.7996,-21.9931,SER,,0.5687,21.7506,20.0901,18.758
17.0668,-60.2484,SER,,0.3636,19.5234,17.72,16.8054
17.1106,-26.3391,REX,,0.2444,21.1368,19.9983,19.3064
17.2022,-31.8765,SER,,0.8351,21.2607,20.5361,19.3493
17.2058,7.9891,SER,,0.4757,20.8076,18.9419,17.8503
17.2315,-28.0326,SER,,0.3703,21.1758,19.5237,18.5905
17.3057,-58.695,SER,,0.2577,19.3323,18.1884,17.4829
17.3165,-8.6377,DEV,,0.8992,23.5624,21.6239,19.6026
17.3286,6.1349,SER,,0.2621,19.697,18.2806,17.4606
17.5171,-17.8165,SER,,0.2871,19.7661,18.7199,18.0467
17.7915,-20.0529,REX,,0.7329,21.0806,20.3766,19.5291
17.7974,17.6847,SER,0.523,0.5454,21.0185,19.5593,18.4633
17.8999,32.4277,EXP,,0.8456,22.1029,20.9406,19.3246
17.9485,-43.0479,SER,,0.5825,20.7354,19.2599,18.0942
17.9955,-39.1283,REX,,0.6969,21.0466,20.2528,19.4747
18.0162,-23.2914,SER,,0.3365,20.0012,18.5555,17.6367
18.1111,3.2937,SER,,0.2574,19.7652,18.7105,17.8598
18.1852,-18.3088,SER,,0.516,21.5992,19.7589,18.6097
18.3007,25.0855,DEV,,0.399,21.7623,20.3707,19.5764
18.5733,-30.1518,SER,,0.1238,18.5371,17.7835,17.2575
18.6492,-39.9858,SER,,0.3148,21.3853,20.0261,19.2865
18.6505,-47.1072,SER,,0.575,20.7698,19.9267,19.224
18.7839,-7.526,EXP,,0.6004,21.6005,20.2164,19.0415
18.8332,-7.9288,DEV,,0.5807,20.5248,19.5153,18.4905
18.8893,-65.1991,DEV,,0.1956,20.4286,19.28,18.5995
18.9703,-24.2921,DEV,,0.6165,20.7567,19.4995,18.4063
19.5052,9.9646,SER,0.6897,0.723,23.5253,21.515,19.8346
19.5878,-48.3489,SER,,0.4525,20.734,19.4538,18.6065
19.5885,-13.534,SER,,0.2462,19.5861,18.1718,17.4031
19.6744,5.8701,DEV,0.6382,0.6384,22.0133,20.0452,18.5047
19.8084,-16.9322,EXP,,0.27,20.9422,20.318,19.9088
19.8841,-50.8659,SER,,0.6063,21.9815,20.3396,19.043
19.9746,13.5437,SER,,0.2775,20.2391,18.8293,18.0274
20.126,-27.3645,SER,,0.3,19.331,17.7866,16.946
20.1279,-51.1633,DEV,,0.7446,21.5501,20.2957,18.8628
20.1923,-14.5888,REX,,0.6282,21.3823,20.473,19.2249
20.2373,-24.8663,SER,,0.6252,21.1078,19.9312,18.9273
20.2812,-45.8502,DEV,,0.1994,19.0325,17.747,16.9186
20.3845,-31.1258,SER,,0.2963,19.1327,17.5705,16.7415
20.4524,-18.132,SER,,0.3175,19.9344,18.9984,18.2796
20.4575,-60.9678,SER,,0.4417,20.4775,18.9482,17.9967
20.4646,-9.8968,SER,,0.5136,20.9243,19.1874,18.0075
20.6077,23.9173,SER,0.2348,0.2458,19.221,17.7724,16.962
20.613,16.2889,SER,,0.5389,21.3182,19.3078,17.9847
20.7563,-24.6186,EXP,,0.4548,21.1823,20.3512,19.1162
20.7858,-18.7298,SER,,0.5533,20.0447,18.1903,16.8947
20.8786,-12.6787,SER,,0.3067,19.155,17.7475,16.9581
21.0576,-58.9351,DEV,,0.8091,23.0165,21.2121,19.2696
21.3452,-48.5769,DEV,,0.6493,21.3981,20.115,18.9383
21.3483,-6.9439,SER,,0.5108,21.0903,19.7157,18.666
21.648,4.5265,SER,0.5337,0.5282,20.8226,19.0084,17.7793
21.8329,-31.0458,SER,0.2885,0.2951,19.3238,17.7434,16.9177
22.0974,-23.7731,SER,,0.6363,21.1801,19.6718,18.2673
22.0994,-56.8311,SER,,0.6225,20.8133,19.9708,19.3407
22.2514,-30.5548,DEV,,0.5645,20.5497,19.7524,18.4071
22.4196,-24.3624,SER,,0.4815,21.4651,19.7886,18.6594
22.4625,-10.9601,SER,,0.6926,22.6942,20.7797,19.1573
22.4885,4.4133,REX,0.6142,0.6927,22.9162,21.0742,19.4959
22.7006,-42.4854,SER,,0.2117,18.6621,17.6201,16.9501
22.8103,-26.7992,SER,,0.2931,19.6723,18.367,17.6265
23.3726,-41.8503,SER,,0.6554,21.7324,20.1134,18.724
23.4793,-10.9612,DEV,,0.8509,22.6862,20.9305,18.9796
23.6322,-14.4272,SER,,0.1563,20.8133,20.0726,18.4942
24.1877,-30.878,SER,,0.6442,21.7411,20.7889,19.8688
24.4641,-45.9064,DEV,,0.6554,22.9232,21.1048,19.5881
24.52,-24.6319,DEV,,0.7213,21.1726,20.1561,18.9149
24.5229,-10.284,REX,,0.6016,22.5857,20.8128,19.4925
24.7594,-20.7683,REX,,0.6142,21.4286,20.3694,19.3673
24.974,-63.8678,SER,,0.4827,21.4025,19.5738,18.4745
25.3093,4.5443,SER,,0.6102,20.9755,19.9175,19.0726
25.4599,-14.3095,SER,,0.3676,20.4608,19.1061,18.3431
25.6371,-57.925,SER,,0.7289,22.398,20.2482,18.533
25.6521,2.9063,SER,,0.4485,21.3363,20.3116,19.5491
25.7677,6.4735,SER,0.5087,0.5132,20.8646,18.9267,17.7161
25.8056,-32.0032,SER,,0.3372,19.1341,17.6584,16.688
25.8061,-24.482,SER,,0.4792,21.2654,19.7131,18.3565
25.8527,-46.869,SER,,0.7543,21.4249,20.5358,19.5127
26.0263,-6.745,SER,0.5811,0.5811,20.5156,19.2305,18.2017
26.1307,-31.213,SER,,0.2051,19.9891,18.8035,18.137
26.1543,7.2666,SER,0.6866,0.6841,21.9338,20.0123,18.3948
26.202,26.1353,SER,,0.0346,17.8545,17.4109,17.1392
26.6165,-33.7737,EXP,,0.8045,21.699,20.8416,19.6838
26.6835,-2.7242,SER,,0.4364,21.8353,20.5618,19.7888
26.9327,-17.4894,SER,,0.4399,20.9072,19.0641,18.0633
27.1631,-44.4321,SER,,0.7641,22.4157,20.7483,18.9027
27.2323,20.0855,SER,0.2649,0.286,19.3378,17.7503,16.8864
27.3759,-45.8398,DEV,,0.4047,19.9003,18.3103,17.4648
27.4112,13.7805,SER,0.3831,0.3613,20.4548,18.7517,17.8285
27.586,-13.2907,SER,,0.7521,21.1449,20.3509,19.3751
27.5987,-31.711,SER,,0.5434,20.0585,18.8705,17.8149
28.0407,-40.9781,SER,,0.6664,20.857,18.9201,17.3375
28.2105,-39.3888,SER,,0.4699,20.9334,20.1207,19.4188
28.3927,1.6365,SER,0.7006,0.668,20.7636,19.5095,18.2148
28.4044,32.1137,SER,0.3684,0.3799,19.7001,17.84,16.8936
28.4748,-32.5996,DEV,,0.6541,22.0301,20.134,18.6341
28.5763,-7.6342,DEV,,0.6226,23.0507,21.2281,19.8213
